  		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	dictator	public_good	beauty_contest	ultimatum	ultimatumR	trust	trustBanker
								
altruism	Altruism	0.345***	0.286***	0.0972**	0.334***	-0.00475	-0.132***	0.159**
		(0.0470)	(0.0481)	(0.0451)	(0.0432)	(0.0359)	(0.0430)	(0.0697)
social_norm	Social Norm	0.0809*	-0.0333	0.0682	-0.0168	0.469***	-0.0397	0.145***
		(0.0465)	(0.0358)	(0.0425)	(0.0434)	(0.0397)	(0.0438)	(0.0520)
self_interest_maximizing	Self-interest	-0.264***	-0.320***	0.00696	-0.263***	-0.243***	0.216***	0.0427
		(0.0362)	(0.0330)	(0.0432)	(0.0328)	(0.0325)	(0.0511)	(0.0456)
risk_aversion	Risk-aversion	-0.149***	-0.140***	-0.0621**	0.0935***	-0.0982***	-0.344***	-0.0862**
		(0.0480)	(0.0298)	(0.0287)	(0.0330)	(0.0264)	(0.0283)	(0.0428)
stereotype	Stereotyping	-0.121***	-0.0448	-0.0468	-0.102***	0.0219	0.0303	-0.0111
		(0.0306)	(0.0300)	(0.0295)	(0.0305)	(0.0282)	(0.0300)	(0.0401)
trust	Trust	0.185***	0.214***	0.0322	0.164***	0.149***	0.273***	0.401***
		(0.0532)	(0.0466)	(0.0463)	(0.0457)	(0.0442)	(0.0408)	(0.0550)
strategic_thinking	Strategy	-0.116***	0.203***	0.127***	0.0281	-0.00147	-0.198***	0.258***
		(0.0394)	(0.0333)	(0.0483)	(0.0346)	(0.0300)	(0.0410)	(0.0523)
Constant	Constant	-1.076**	-1.614***	-1.173**	-1.629***	-1.866***	0.833	-5.401***
		(0.523)	(0.469)	(0.529)	(0.461)	(0.382)	(0.548)	(0.584)
								
Observations		750	750	1,246	750	750	750	750
R-squared		0.387	0.494	0.042	0.455	0.563	0.397	0.171
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
