		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	dictator	public_good	beauty_contest	ultimatum	ultimatumR	trust	trustBanker
								
altruism	Altruism	0.719***	0.412***	-0.0888*	0.670***	-0.135***	-0.140***	0.167***
		(0.0612)	(0.0664)	(0.0486)	(0.0599)	(0.0405)	(0.0275)	(0.0638)
social_norm	Social Norm	0.0726	0.0866*	0.0755*	-0.0884	0.584***	-0.0567	-0.0601
		(0.0560)	(0.0522)	(0.0440)	(0.0579)	(0.0514)	(0.0357)	(0.0748)
self_interest_maximizing	Self-interest	-0.127**	0.0639	-0.0243	-0.121***	-0.230***	0.129***	0.230***
		(0.0565)	(0.0408)	(0.0510)	(0.0438)	(0.0375)	(0.0325)	(0.0415)
risk_aversion	Risk-aversion	-0.0762	-0.136***	-0.0485	0.00372	0.000271	-0.451***	0.0793
		(0.0628)	(0.0447)	(0.0392)	(0.0402)	(0.0377)	(0.0247)	(0.0550)
stereotype	Stereotyping	-0.000426	0.0863**	-0.0478	-0.0239	-0.0259	-0.0458*	0.0973*
		(0.0392)	(0.0391)	(0.0329)	(0.0426)	(0.0373)	(0.0276)	(0.0536)
trust	Trust	0.0757	0.237***	0.148***	-0.0533	0.223***	0.231***	0.171**
		(0.0556)	(0.0567)	(0.0426)	(0.0637)	(0.0525)	(0.0376)	(0.0710)
strategic_thinking	Strategy	-0.0215	0.209***	-0.00631	0.111**	-0.105**	0.0345	0.0917*
		(0.0456)	(0.0483)	(0.0597)	(0.0485)	(0.0408)	(0.0374)	(0.0489)
Constant	Constant	-3.829***	-5.130***	-0.233	-2.713***	-1.826***	0.449	-3.719***
		(0.586)	(0.621)	(0.627)	(0.687)	(0.497)	(0.403)	(0.649)
								
Observations		750	750	1,250	750	750	750	750
R-squared		0.229	0.157	0.020	0.207	0.347	0.513	0.122
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
