		(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	LABELS	std_altruism	std_social_norm	std_self_interest_maximizing	std_risk_aversion	std_stereotype	std_trust	std_strategic_thinking
								
female		-0.278***	-0.452***	0.0540	-0.433***	-1.244***	-0.248***	-0.470***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
male		-0.368***	-0.479***	0.131**	-0.334***	-1.128***	-0.400***	-0.418***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
young		0.119*	-0.0746	-0.155**	0.384***	0.260***	-0.263***	-0.226***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
middle		-0.192***	-0.0473	0.138**	0.00131	-0.537***	-0.252***	-0.226***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
old		0.106*	-0.312***	-0.0992	-0.0302	-0.234***	-0.656***	-0.392***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
low		0.178***	-0.331***	-0.153**	-0.0460	-0.582***	-0.427***	-0.377***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
medium		-0.138**	-0.129**	0.110*	0.0684	-0.417***	-0.324***	-0.155**
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
high		-0.221***	-0.316***	0.240***	-0.302***	-0.305***	-0.316***	0.0222
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
caucasian		-0.357***	-0.658***	0.126*	-0.433***	-1.607***	-0.164***	-0.329***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
black		-0.330***	-0.549***	0.0540	-0.448***	-1.488***	-0.0724	-0.451***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
native_american		-0.151**	-0.370***	-0.00723	-0.322***	-1.342***	-0.0724	-0.418***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
asian		-0.253***	-0.487***	0.0770	-0.409***	-1.420***	-0.118*	-0.377***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
pacific		-0.201***	-0.471***	0.0668	-0.346***	-1.338***	-0.111*	-0.396***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
highschool		-0.122*	-0.203***	0.0566	-0.141**	-0.406***	-0.438***	-0.296***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
associate		-0.149**	-0.238***	0.0668	-0.141**	-0.399***	-0.282***	-0.274***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
bachelor		-0.185***	-0.180***	0.115*	-0.231***	-0.215***	-0.172***	0.00740
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
graduate		-0.192***	-0.203***	0.133**	-0.287***	-0.234***	0.0114	0.203***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
unemployed		0.0470	-0.681***	-0.0404	-0.176***	-0.878***	-0.625***	-0.292***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
employed		-0.233***	-0.238***	0.120*	-0.172***	-0.571***	-0.236***	-0.200***
		(0.0639)	(0.0631)	(0.0644)	(0.0634)	(0.0536)	(0.0634)	(0.0635)
Constant	Constant	0.117***	0.257***	-0.0414*	0.152***	0.563***	0.207***	0.203***
		(0.0242)	(0.0239)	(0.0243)	(0.0239)	(0.0202)	(0.0240)	(0.0240)
								
Observations		7,000	7,000	7,000	7,000	7,000	7,000	7,000
R-squared		0.022	0.046	0.008	0.039	0.313	0.037	0.036
Standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
